line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
M1,0,0,La Défense,63.1782357664,52.857143,,.202328,.326073,.309898,.156573,.385339,.140435,154085,28277.4,.108849,.373968,7.87121,6.1509271,,0,0,0,54218,0,.38331,15.267,54602.3,0,39333.9,0,10181.6,0,0,0,0,0,191457,30879.5,35096.2,180457,629073,413039,,,,,,,,,,,,,,,,,,,,
M1,1,100,,62.8243589345,50.5,,.202258,.327227,.309694,.155744,.379956,.140952,155151,28568.1,.107711,.362431,8.47246,5.8367486,,0,0,0,58248.5,0,5.98387,158.825,53321.9,0,41645.8,0,10256.8,0,0,0,62.8509,0,202126,34828.9,39224.5,193850,632403,439043,,,,,,,,,,,,,,,,,,,,
M1,2,200,,62.1872305519,46.875,,.197657,.332054,.311394,.154846,.336286,.178705,157261,29293.7,.103055,.295914,12.3616,5.25349,,0,0,0,68410.89999999999,70.56100000000001,0,1314.06,50542.1,0,38699.8,0,11276.2,0,0,0,8828.01,0,201420,39134.8,43348.5,245723,657244,520550,,,,,,,,,,,,,,,,,,,,
M1,3,300,,61.7489087732,49,,.19689,.332786,.312054,.154816,.333431,.186907,155357,29647.8,.10321,.2837,18.4284,4.4906101,,0,0,0,74709.8,694.232,0,3232.02,53508.1,0,23647.1,0,14754.9,0,0,0,27918.6,0,193994,29935,33656.1,279227,738898,598413,,,,,,,,,,,,,,,,,,,,
M1,4,400,,60.6566146501,56.904762,,.197268,.337589,.314014,.150422,.361677,.184022,159051,30167,.104984,.223137,25.8419,3.41698,,0,0,0,76132.89999999999,3084.54,0,5389.15,64373.2,0,5927.07,0,19864.8,0,0,0,41910.3,0,223205,12816,15214.3,344084,841627,662554,,,,,,,,,,,,,,,,,,,,
M1,5,500,,52.9017468528,54.625,,.198259,.343779,.312525,.145017,.385109,.216009,159109,30511.7,.104974,.182145,33.6394,2.51983,,0,0,0,73315.3,7116.99,0,7591.45,79354.89999999999,229.268,0,0,25701.9,0,0,0,42841.1,0,269414,539.96,996.183,455339,878496,693902,,,,,,,,,,,,,,,,,,,,
M1,6,600,,43.1936210464,50.227272,,.198371,.342127,.309554,.149684,.343891,.192744,156804,30897.2,.105184,.181522,42.6362,1.49585,,0,0,4065.93,68648.10000000001,11703.1,1206.48,9633.74,96041.8,2443.25,0,0,30431,0,2596,0,30266.2,0,340942,0,0,538556,839022,684481,,,,,,,,,,,,,,,,,,,,
M1,7,700,,40.831861849,50.697674,,.196326,.340319,.310791,.152924,.312731,.185212,158333,31156.1,.102257,.169839,51.2519,.50239599,,0,0,27755.4,60195.4,15749.9,16329.4,10821.3,111540,21728.5,.794619,0,32644.9,0,19497.3,0,11197.4,0,428412,0,3274.23,500098,802736,637829,,,,,,,,,,,,,,,,,,,,
M1,8,800,,37.4991942983,50.757576,,.186118,.353431,.313705,.147994,.261632,.17888,159586,30713.6,.110516,.169746,55.6547,.0110392,0,0,2.86019,49937.2,49083.6,18627.5,35736.9,10646.1,123592,45847.7,7.79603,0,32055.2,0,37388.2,0,201.966,0,460528,0,9366.030000000001,392498,902669,564408,,,,,,,,,,,,,,,,,,,,
M1,9,900,Esplanade de la Défense,40.7781440341,49.130436,,.195202,.334802,.314075,.156464,.243109,.159104,162498,30713.9,.107441,.229915,55.8292,0,0,0,1985.84,54639.9,38828.4,20038.7,50570.8,8900.049999999999,128217,54922.7,.000259377,0,28952.5,0,45130.1,0,0,0,420412,0,10379.5,360614,1019930,482068,,,,,,,,,,,,,,,,,,,,
M1,10,1000,,46.159923997,56.875,,.192222,.33282,.315086,.159837,.235123,.138277,160845,30602,.109457,.237847,51.9692,0,0,0,7542.55,39679,30950.5,19655.5,65021.9,6164.12,122724,44292.8,2401.26,0,23991.4,0,38267.4,89.05459999999999,0,0,352727,0,5197.93,418685,1009520,400597,,,,,,,,,,,,,,,,,,,,
M1,11,1100,,41.129493674,62.35294,,.189431,.327436,.317536,.16419,.175218,.169811,164719,31919.6,.108965,.232961,45.4193,0,0,0,8780.719999999999,18256,26928,17655,66268.10000000001,3413.31,108282,24139.8,30666.2,0,18347.9,0,20675.6,2879.15,0,0,248114,0,91.6292,510742,854473,313762,,,,,,,,,,,,,,,,,,,,
M1,12,1200,,36.810320471,66.25,,.184637,.321956,.317929,.173081,.157194,.156731,165418,32436.1,.103929,.226672,37.59,.092990696,0,0,4213.86,2342.58,27284.6,15019.9,53051.6,4119.92,88793,5860.06,67422,0,13636.5,0,3385.99,5375.73,0,0,138976,0,0,537374,620592,228158,,,,,,,,,,,,,,,,,,,,
M1,13,1300,,32.1996525786,66.666664,,.183462,.316626,.317208,.17913,.135291,.144892,168878,32681,.104352,.232464,35.4668,3.6871326,0,0,202.536,0,31321.9,12659.7,37968.7,9503.99,72564.10000000001,0,86726.39999999999,0,11111.7,0,0,3456.88,0,0,76596.39999999999,0,.792104,457624,361451,154090,,,,,,,,,,,,,,,,,,,,
M1,14,1400,,27.5519363595,75,,.187243,.323094,.309491,.174052,.115361,.196576,175135,33338.9,.112033,.198512,59.0296,19.732578,0,0,0,0,42314.4,10665.4,19961.7,18637.1,67114.89999999999,0,77746.2,0,10700,0,0,244.77,0,1999.46,38232.4,0,10.7717,436559,182771,98578.5,,,,,,,,,,,,,,,,,,,,
M1,15,1500,,26.2517348786,68.75,12549.1450195,.19155,.321429,.316728,.16661,.0979492,.232486,177010,34339,.120446,.175134,125.559,44.419453,0,0,0,5416.3,58834.8,9461.82,23676.5,29822.2,69127.39999999999,6757.25,45647.3,7296.39,12007.1,0,0,0,1452.77,32130.3,53884.5,5414.8,2548,613566,89842.7,64394.1,,,,,,,,,,,,,,,,,,,,
M1,16,1600,,29.4759863284,63.947369,12887.2594866,.19129,.313404,.316435,.176876,.0903908,.248851,187649,36221.7,.119305,.12875,229.517,72.619637,0,0,0,24695.1,75824.5,9789.530000000001,72845.8,41811,76697.2,42386.6,9728.450000000001,41584.1,14211.9,0,7255.59,0,11947.7,70510.89999999999,219774,30506.4,19551.2,1012350,47332.1,44608.9,,,,,,,,,,,,,,,,,,,,
M1,17,1700,,33.5893788473,58.701298,12926.8206543,.186303,.306638,.313169,.190587,.102236,.26662,190529,38034.4,.113809,.0884969,353.355,98.628693,0,0,7660.3,61185.9,92233.39999999999,11937.7,129183,52449.7,90482.2,98926.5,2.55333,75029.7,15219.7,0,36108.9,0,22431.4,91351.8,535644,51261,37724.3,1457430,92721.3,32392.7,,,,,,,,,,,,0,,,,,,,,
