line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
M3b,0,0,Gambetta,87.1119902243,54.407894,10562.6755243,.153779,.356211,.31962,.156767,.158611,.605219,578259,30835.6,.115028,.0838979,770.011,29.742689,108393,21425400,98071,232828,115231,57446.2,191122,65007.7,116935,259314,55021.1,0,0,0,114580,0,0,83028.2,903818,29039.4,98080.60000000001,3107250,668847,73645.39999999999,0,81914.39999999999,41.6937,519085,0,94193.7,0,244038,0,128889,0,3623150,,82555.5,11881,26922.1,1.3971,11701.2,0,41741
M3b,1,100,,88.55635109550001,52.5,10688.5743215,.160026,.354318,.31783,.155045,.158677,.606766,573203,30491.4,.115905,.106588,803.427,29.147301,120748,18033600,81321.10000000001,220127,121823,53168.1,169161,67177.89999999999,119743,244900,43221.3,0,62.1888,0,120879,0,0,77353.5,913312,45559.8,90800,2883820,535694,62367.8,0,119630,128.246,555257,0,136197,91.3977,238438,0,187920,116.101,3399510,,119162,18861.1,32711,0,17093.8,.938732,53830.7
M3b,2,200,,90.21534280119999,52.058823,9845.159765619999,.164057,.355334,.322997,.154975,.151549,.597835,560822,30176.1,.119061,.113808,817.902,27.819822,110000,16707900,52007.1,193452,125925,46835.8,141964,66588.60000000001,120494,229068,22788.8,0,772.201,0,122285,0,0,59664.1,835998,71647.5,87340.2,2488520,399863,48258.8,0,119500,879.1950000000001,512664,0,137028,1683.95,231965,0,187970,1208.77,2689710,,119687,29914.4,36392.3,0,17047.6,3.26139,60842.9
M3b,3,300,,93.31762060760001,51.95652,9274.700400899999,.171662,.338185,.327555,.159279,.159922,.559007,550788,29679.7,.123561,.153969,830.95,25.53434,78333.89999999999,15343800,27057.4,170376,127517,39561.1,121167,63003.8,118376,238937,4250.14,0,2052.37,0,125841,0,0,45232.7,725794,93876.8,94352.60000000001,2138170,357418,32459.2,1.0366,82359.3,2640.05,399456,0,98457.2,7115.08,224406,0,129814,7911.53,1756690,,83226.10000000001,47040.7,41552.4,0,11837.7,,74801.3
M3b,4,400,Pelleport,97.39521171849999,52.42857,9739.757555509999,.177596,.325583,.329375,.164079,.159362,.5154,535342,29283.6,.126454,.174139,842.285,21.536501,46482.4,13912000,18223.1,177535,126014,32910.1,125571,56699.4,112906,271871,0,0,3625.27,0,133246,0,0,40423.8,626292,99903,125421,1937430,419700,18952.5,72.08920000000001,,4512.43,280872,0,40034.1,11887.5,218960,0,47377.4,13633.7,1072140,,28483.7,56273,47567.2,0,4320.92,,77861.8
M3b,5,500,,100.254069915,52.395832,9454.295281659999,.176561,.315546,.328397,.169337,.202351,.433052,527444,29278.3,.127092,.186407,825.307,16.872999,30777.5,12810100,36194.6,215219,121164,27863,158450,48503.2,104792,294515,0,0,5721.13,0,139432,0,0,53570.4,504859,86802.5,161778,1913940,516121,11295.9,169.887,,3333.08,237170,0,16289.2,9816.610000000001,211171,684.591,223.146,11858.9,934762,,1093.6,49314.3,45394.7,0,60.2916,,63583.7
M3b,6,600,,102.438009693,52.362637,8932.204931640001,.183633,.305768,.327833,.169414,.222784,.370657,503534,28587,.13155,.244878,765.627,14.7557,33217.6,12288800,63291.2,238919,113537,24076.5,198744,39488.9,96740.3,292214,0,0,8385.34,0,128221,0,0,63973.5,372667,61417.9,184088,1888600,569358,8973.709999999999,0,,1124.84,253077,0,27341.5,1718.09,154041,10467.1,0,4759.99,759267,,0,29127,30574.4,0,0,,35291.8
M3b,7,700,,104.604903192,52.463768,8853.75239001,.186456,.298138,.324586,.172615,.226465,.31539,484881,28694.4,.128043,.26224,664.0700000000001,16.9799,35624,11671300,81433.89999999999,236225,104866,20985.2,224140,30328,90602.89999999999,244328,0,0,11410.5,0,101374,1614.91,0,60572.9,259439,35300.4,181340,1736370,536443,7440.88,0,,0,293347,0,38719,0,79628.3,26341,0,245.166,572716,,0,8366.809999999999,11953,155.798,0,,10950.4
M3b,8,800,,107.344820808,53.846153,9538.981797959999,.187658,.296011,.32489,.172187,.227559,.300819,469659,28748.8,.129235,.265161,542.793,20.598101,30035.8,11025400,84636.39999999999,208352,97387.5,18433.9,219369,22580.1,88354,165120,0,0,14279.8,0,75823,12050.7,0,49123.9,193582,9523.110000000001,153914,1509560,442097,5621.43,0,,0,320224,0,46096.3,0,33943.9,39952.7,0,0,520116,,0,641.1420000000001,9945.360000000001,6915.06,0,,172.411
M3b,9,900,Saint-Fargeau,109.915433818,52.5,9571.118575250001,.191355,.292799,.330847,.166869,.240851,.290417,447726,28494.6,.136512,.281095,434.897,24.387699,22097.9,10822800,84037,179086,90578.39999999999,16773,196420,16993.1,91668.2,98672.7,0,0,16553.1,0,57808.8,27140.4,0,39240.5,171624,144.638,120227,1373990,366428,3736.57,0,,,316836,1323.9,45387.9,0,41394.2,46404,0,0,626701,,0,0,24362.4,20990.1,0,,904.433
M3b,10,1000,,113.93492771,52.196968,8745.005936469999,.192491,.289798,.334346,.170032,.240686,.285381,423533,28399.6,.13631,.287979,366.009,25.410585,19052.2,11445200,85167.89999999999,148710,82395.39999999999,15810,159137,12305.8,94978.10000000001,70188.89999999999,0,0,18262.9,0,44413,48444.6,0,37154.7,173779,86.3867,86897.7,1392120,361770,2030.8,0,,,294276,9637.17,41547.1,0,70017.10000000001,44947.7,0,0,803346,,0,,47527.6,35061.7,0,,6229.07
M3b,11,1100,,118.038711572,51.909092,8294.55766859,.195408,.287553,.3363,.169175,.242603,.283272,410292,28004.9,.139798,.305214,342.099,24.674713,23458.4,12565600,88366.2,138782,73017.8,15393.4,118200,7974.63,96269.2,64248.6,0,0,19271.4,0,44247.6,68884.89999999999,0,43689.9,185634,0,63865.2,1577210,430986,740.366,0,,,257170,20780.4,40737.2,,96642.39999999999,35921.9,0,0,956725,,,,67828.60000000001,44523.1,0,,12820.6
