line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
RA,0,0,Saint-Germain-en-Laye,89.8607201967,56.973682,,.208147,.252276,.319224,.220294,.208394,.285797,33249.3,37655.8,.0713616,.171274,,27.872101,,,,185413,162354,26599.5,329033,824704,82727.2,329436,0,160588,9022.57,0,73637,24983.2,25546.6,54424,412659,86829.10000000001,68381.5,1897810,49160.9,32266.1,,,,,,,,,,,,,,,,,,,,
RA,1,100,,88.9168634764,59.0625,,.213023,.252606,.313013,.220339,.224782,.29729,32682.5,37224.9,.0744473,.205178,,20.0734,,,,112934,151774,23018.1,223988,743074,72785.89999999999,239136,0,97514.2,10052.8,0,39371.4,30757,33729.1,38642.4,254175,75824.39999999999,47797.9,1688230,54878,30002.8,,,,,,,,,,,,,,,,,,,,
RA,2,200,,87.59409137989999,59.166668,,.21492,.254927,.315554,.214395,.233523,.2915,31923,37584.1,.0750417,.208874,,12.5609,,,,46228.8,132781,18653.8,131962,627064,58509.6,146425,0,38597,10446.7,0,17098.3,31516.6,35459.9,26850.7,128288,49406.3,28298.9,1384850,52393.4,26697.6,,,,,,,,,,,,,,,,,,,,
RA,3,300,,84.8513146968,59.545456,,.210127,.252249,.315051,.221949,.225604,.308669,30931.9,37967.9,.0717787,.195938,,7.8722501,,,,6421.59,101395,13609.5,59953.9,467150,38461,59578.7,0,6579.77,9684.889999999999,0,3067.31,30090.1,27306.1,12748.6,34872.4,20805.8,12048.2,958451,39603.2,22562.9,,,,,,,,,,,,,,,,,,,,
RA,4,400,,79.7715779917,60.196079,,.211909,.252955,.31543,.219903,.203272,.315958,30931.9,37848.6,.0667279,.164091,,6.3910599,,,,0,63316,8484.700000000001,38927.9,288792,19722,9213.17,0,1.8963,8142.1,0,1.25372,26325.9,11724.2,1242.33,3128.26,5992.41,929.516,511970,23706.2,17913,,,,,,,,,,,,,,,,,,,,
RA,5,500,,77.6430038342,62.302631,,.211966,.252701,.315267,.220186,.20181,.319708,30931.9,37939.5,.0665441,.163937,,6.38342,,,,0,31023,4046.75,50559.9,134391,8971.43,.537592,0,0,6104.25,0,0,18442.4,411.873,0,0,21.2362,0,197582,13102.3,12896.9,,,,,,,,,,,,,,,,,,,,
RA,6,600,,77.2900216779,62.967033,,.211571,.250796,.316588,.22129,.197874,.331485,28780.5,37913,.0661138,.153671,,6.2021499,,,,0,13090.8,1226.1,62015.6,38551.5,4182.34,0,0,0,3963.85,0,0,7408.66,0,0,0,0,0,54921,6062.44,7924.75,,,,,,,,,,,,,,,,,,,,
RA,7,700,,78.3630107664,62.64706,,.210271,.243308,.325876,.222494,.191247,.356063,26590.2,37381.9,.0662261,.104904,,5.27035,,,,0,3317.89,69.7415,57332.4,5941.63,1877.72,0,0,0,2521.04,0,0,166.101,0,0,0,0,0,1794.76,67.90389999999999,3605.84,,,,,,,,,,,,,,,,,,,,
RA,8,800,,79.661665437,40,,.215005,.241212,.328594,.217167,.196285,.323962,25906.3,36562.8,.0683024,.118703,,3.6103401,,,,0,340.887,0,39406.9,139.369,395.385,0,0,0,2171.88,0,0,0,0,0,0,0,0,22848.4,0,771.037,,,,,,,,,,,,,,,,,,,,
RA,9,900,,75.2294393864,52.142857,,.212265,.243586,.327519,.21898,.195348,.331765,25647.9,36348.5,.0690913,.110641,,1.7009799,,,,0,0,0,21003.1,0,0,0,0,0,3159.33,0,0,0,0,0,0,0,0,48529,0,3.85748,,,,,,,,,,,,,,,,,,,,
RA,10,1000,,59.1129602069,55,,.214959,.242045,.330023,.215746,.190311,.33838,25493.1,36745.7,.0693964,.103606,,.309953,,,,0,0,0,6274.66,0,0,0,0,0,4150.67,0,0,0,0,0,0,0,0,98172,0,0,,,,,,,,,,,,,,,,,,,,
RA,11,1100,,41.2970652013,56.323528,,.22483,.242715,.335118,.200752,.228819,.31072,25023.4,36556.3,.0696883,.117517,,.00161073,,,,0,0,0,0,0,0,0,0,0,4750.31,0,0,0,0,0,0,0,0,191694,1126.45,0,,,,,,,,,,,,,,,,,,,,
RA,12,1200,,29.977771204,57,,.226044,.241966,.337058,.199487,.231797,.307204,24808.1,36486.5,.0696339,.118784,,0,,,,0,0,0,1617.93,0,159.029,0,0,0,4725.69,0,0,0,0,0,0,0,0,341251,17359.6,0,,,,,,,,,,,,,,,,,,,,
RA,13,1300,,25.6766507528,58.695652,,.226813,.235141,.33922,.203392,.20832,.314176,24536.6,36769,.0691174,.115303,,0,,,,0,126.872,0,12119.8,0,1080.32,0,0,0,4473.38,0,0,0,0,0,0,0,0,415315,36246.2,0,,,,,,,,,,,,,,,,,,,,
RA,14,1400,,24.2416115808,63.333332,,.226824,.235141,.339438,.20325,.20832,.314176,23104.4,36851.9,.0691174,.115287,,0,,,,0,2750.37,0,19116.9,0,2456.33,0,0,0,4194.96,0,0,0,0,0,0,0,0,339680,43379,0,,,,,,,,,,,,,,,,,,,,
RA,15,1500,,23.0036841929,63.727272,,.226967,.236362,.338669,.201358,.203847,.313963,22204.8,36963.4,.0684212,.1136,,0,,,,0,8547.32,0,15936.8,0,3849.65,0,0,0,3846.65,0,0,4073.48,0,0,0,0,0,178676,34772.4,0,,,,,,,,,,,,,,,,,,,,
RA,16,1600,,23.1578217496,62.711864,,.222247,.237608,.340098,.200475,.195956,.306346,23018.7,37050.7,.0659548,.0894865,,0,,,,0,15232.1,0,7331.64,0,4871.7,.552432,0,0,3569.77,0,0,22956.8,0,0,0,0,0,157483,16141.7,0,,,,,,,,,,,,,,,,,,,,
RA,17,1700,,23.5153435913,60.60606,,.227269,.241404,.341913,.188626,.197092,.300554,22437.5,37233.5,.0681629,.0943506,,0,,,,0,21045.5,0,10483.2,0,5302.84,0,0,0,2979.02,0,0,40963.2,0,0,2.14435,0,0,368733,1128.37,0,,,,,,,,,,,,,,,,,,,,
RA,18,1800,,26.3912367839,59.84127,,.229495,.239629,.344976,.184594,.211656,.312991,22716.5,37480.2,.0666294,.0859834,,.0064702299,,,,468.335,24725,0,16573.1,0,5054.18,538.528,0,0,2323.06,0,45.0939,46411.1,0,0,199.063,0,0,577759,53.3989,0,,,,,,,,,,,,,,,,,,,,
RA,19,1900,,27.6034852825,59.39394,,.226382,.243398,.341048,.187826,.209246,.333529,22391.3,37734.5,.0662363,.0957486,,.36116299,,,,2987.47,26232.8,0,16428,0,4336.53,1162.23,0,0,1714.16,0,1700.44,36596.3,0,0,2549.26,0,0,615628,717.497,0,,,,,,,,,,,,,,,,,,,,
RA,20,2000,,28.6804218154,57.142857,,.228692,.24287,.341068,.186314,.221957,.339469,23468.8,37957.4,.0659628,.102193,,1.20307,,,,3395.03,25656.5,0,9333.139999999999,0,3330.07,1137.09,0,0,1039.31,0,2036.92,17266.1,0,0,3679.28,.237509,0,494136,671.818,0,,,,,,,,,,,,,,,,,,,,
RA,21,2100,,29.9548296197,57.63158,,.22398,.245214,.338853,.191795,.219759,.343257,23363.3,38212.3,.0686382,.0986479,,2.16219,,,,1143.21,23074.8,0,1095.81,0,2192.63,108.745,0,0,422.464,0,714.914,1834.73,0,0,2244.63,598.611,0,385158,104.299,0,,,,,,,,,,,,,,,,,,,,
RA,22,2200,,31.3370635624,60.573769,,.22953,.239008,.345725,.18536,.202263,.377263,24106.9,38422.3,.0673061,.0962192,,2.93186,,,,10.5146,19195.4,0,803.372,0,1149.46,0,0,0,71.08280000000001,0,0,0,0,0,309.236,1996.5,0,429613,2640.76,0,,,,,,,,,,,,,,,,,,,,
RA,23,2300,,32.0107066542,62.765957,,.229532,.239008,.345816,.185354,.202263,.377263,24801.9,38644.9,.0673061,.0962217,,3.31354,,,,3855.05,14541.5,0,11987.4,0,364.194,0,0,0,.0829309,0,0,0,0,0,.0143237,2091.71,0,644343,36251.4,0,,,,,,,,,,,,,,,,,,,,
RA,24,2400,,32.3137625992,62.291668,,.235536,.248939,.339213,.177013,.201883,.356883,24591.3,38892.3,.0615098,.0963108,,3.21646,,,,15569.8,9953.549999999999,0,26483.3,0,20.2702,0,0,0,0,0,0,0,0,0,0,1155.59,0,866937,86929.89999999999,0,,,,,,,,,,,,,,,,,,,,
RA,25,2500,,32.1098419798,60.138889,,.221241,.245034,.332322,.203137,.153401,.431256,26225.7,39157,.0636554,.0809913,,2.9080901,,,,24702.6,5845.66,0,34458.1,0,0,0,0,0,0,0,0,0,0,0,0,15.3684,0,997767,125440,0,,,,,,,,,,,,,,,,,,,,
RA,26,2600,Le Vésinet-Le Pecq,31.8231885887,60,,.221235,.245034,.332032,.20324,.153401,.431256,29676.2,39348.2,.0636554,.0809803,,2.71141,,,,25462.3,2746.15,0,32874.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009820,137354,0,,,,,,,,,,,,,,,,,,,,
