line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
RB,0,0,Saint-Rémy-lès-Chevreuse,82.0518499117,,,.196402,.229277,.362635,.20354,.248141,.150569,712.371,35714.6,.0421099,.092896,,0,,,,63012.4,53253.2,0,0,19096.1,0,88164.5,0,0,0,0,22215.8,0,6141.31,0,124933,0,11021.2,1317890,201947,0,,,,,,,,,,,,,,,,,,,,
RB,1,100,,81.0785410756,,,.198971,.225468,.362373,.206164,.232501,.133918,712.371,35732.8,.041695,.107399,,0,,,,26675.7,51801.5,0,0,18123.9,0,50275.6,0,0,0,0,16163.7,0,9740.42,0,85641.2,0,14149.7,874928,178345,0,,,,,,,,,,,,,,,,,,,,
RB,2,200,,80.003089489,,,.19919,.222547,.364739,.208532,.226394,.126288,712.371,35763.5,.0398279,.102534,,0,,,,3183.3,45421,0,0,15474.5,0,11233.8,0,0,0,0,4632.87,0,6682.99,0,30459.9,0,9077.85,361204,116055,0,,,,,,,,,,,,,,,,,,,,
RB,3,300,,81.44616165479999,,,.19932,.222596,.366887,.208513,.22643,.126142,712.371,35788.9,.0398752,.102868,,0,,,,1.0608,34881.1,0,0,11527,0,1034.8,0,0,0,0,0,0,754.173,0,1077.65,0,1067.04,117183,53610.3,0,,,,,,,,,,,,,,,,,,,,
RB,4,400,,82.5461833725,,,.205802,.225264,.362731,.205569,.228355,.118176,737.467,35801.4,.0424554,.117753,,0,,,,0,22200.3,0,0,6976.99,0,0,0,0,0,0,0,0,0,0,0,0,0,28444.2,13428.2,0,,,,,,,,,,,,,,,,,,,,
RB,5,500,,81.5074048398,,,.210484,.227772,.358904,.203019,.230768,.113746,1409.83,35808.3,.0443717,.131837,,0,,,,0,10183.6,0,0,2809.18,0,0,0,0,0,0,0,0,0,0,0,0,0,10326.3,41.5211,0,,,,,,,,,,,,,,,,,,,,
RB,6,600,,81.10427497320001,,,.213994,.230497,.354621,.200813,.229699,.112199,1454.55,35805.3,.0458398,.146028,,0,,,,0,2210.26,0,0,312.227,0,0,0,0,0,0,0,0,0,0,0,0,0,14967.9,0,0,,,,,,,,,,,,,,,,,,,,
RB,7,700,,79.93818694719999,,,.212674,.229003,.35189,.20515,.184879,.110119,1446.65,35782.7,.0447925,.125706,,0,,,,0,25.5906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9233.59,0,0,,,,,,,,,,,,,,,,,,,,
RB,8,800,,76.6317968604,,,.212252,.229249,.350011,.205461,.192256,.110614,1484.18,35723.9,.044328,.124392,,.119724,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7008.04,0,0,,,,,,,,,,,,,,,,,,,,
RB,9,900,,73.47776700590001,,,.211741,.229546,.348084,.205837,.201139,.111209,1561.63,35628.9,.0437687,.122802,,.72850299,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12708.1,0,0,,,,,,,,,,,,,,,,,,,,
RB,10,1000,,71.7246065898,,,.213209,.230339,.346714,.204026,.212786,.107094,1561.7,35464,.0441781,.129594,,1.54329,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30987.1,0,0,,,,,,,,,,,,,,,,,,,,
RB,11,1100,,70.8484369004,,,.213461,.230406,.346959,.203667,.213299,.106511,1561.7,35215.6,.0442897,.130682,,2.2676001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54509.5,0,0,,,,,,,,,,,,,,,,,,,,
RB,12,1200,,70.6012003133,,,.214372,.231742,.348448,.201178,.216256,.105517,1561.7,34908.3,.045045,.130729,,2.68783,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80094.5,0,0,,,,,,,,,,,,,,,,,,,,
RB,13,1300,,70.82039356759999,,,.214985,.232641,.350251,.199494,.218247,.104847,1554.83,34594.7,.0455538,.130754,,2.68819,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74808.3,0,0,,,,,,,,,,,,,,,,,,,,
RB,14,1400,,70.74269090750001,,,.214989,.232641,.351714,.199435,.218247,.104847,1446,34307.4,.0455538,.130775,,2.29777,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48419.5,0,0,,,,,,,,,,,,,,,,,,,,
RB,15,1500,,71.0505504721,,,.214992,.232641,.352662,.199389,.218247,.104847,1467.35,34057.6,.0455538,.130785,,1.58231,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31983.5,0,0,,,,,,,,,,,,,,,,,,,,
RB,16,1600,,71.4431563102,,,.213354,.231348,.352852,.201903,.214407,.105565,1727.46,33894.5,.0444011,.123056,,.76933599,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32523.6,0,0,,,,,,,,,,,,,,,,,,,,
RB,17,1700,,71.8894911507,,,.210346,.228974,.352277,.206565,.20736,.106881,1733.67,33825.5,.042286,.108861,,.13823199,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44696.6,0,0,,,,,,,,,,,,,,,,,,,,
RB,18,1800,,73.5145097595,,,.210344,.228974,.350823,.206568,.20736,.106881,1854.28,33763.1,.042286,.108836,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64171.9,466.882,0,,,,,,,,,,,,,,,,,,,,
RB,19,1900,,76.8613498358,60.185184,,.211251,.229246,.349626,.205474,.205396,.10314,1860.93,33736.4,.0426548,.111302,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275191,12614.9,0,,,,,,,,,,,,,,,,,,,,
RB,20,2000,Courcelle-sur-Yvette,79.03238553609999,59.791668,,.210728,.231624,.348992,.203981,.210736,.093796,1841.43,33713.8,.0415129,.105175,,0,,,,831.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.07899999999999,0,0,627272,32115.4,0,,,,,,,,,,,,,,,,,,,,
RB,21,2100,,79.7605940836,58.666668,,.21073,.231624,.349587,.203939,.210736,.093796,1838.19,33695.8,.0415129,.105161,,0,,,,8703.530000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4131.73,0,0,947377,45521.3,0,,,,,,,,,,,,,,,,,,,,
RB,22,2200,,78.8367836436,54.75,,.211038,.231931,.351685,.202392,.201493,.082083,1843.77,33689.8,.0410091,.107737,,0,,,,16468.3,0,0,0,0,0,0,0,0,0,0,141.36,0,0,0,11224.1,0,0,1025080,57009.6,0,,,,,,,,,,,,,,,,,,,,
RB,23,2300,,75.8455146782,55.526318,,.220275,.237864,.346149,.194431,.197405,.0749738,1814.01,33558.6,.0468935,.140387,,0,,,,18437.7,0,0,0,0,0,3401.88,0,0,0,0,9522.24,0,0,0,25232.1,0,4538.92,805521,70428.5,0,,,,,,,,,,,,,,,,,,,,
RB,24,2400,,73.7094721572,54.782608,,.223624,.240014,.344348,.191486,.195924,.0723979,1857.87,33443.2,.0490256,.152244,,0,,,,25876.8,0,0,0,0,0,20077.4,0,0,0,0,27485.9,0,0,0,38256.2,0,22812.6,472473,75482.60000000001,0,,,,,,,,,,,,,,,,,,,,
RB,25,2500,,73.68202814590001,54.523811,,.223627,.240014,.344628,.191386,.195924,.0723979,1846.2,33349.6,.0490256,.152277,,0,,,,34418,0,0,0,0,0,35914.5,0,0,0,0,39097.5,0,0,0,40981.1,0,39399.8,359463,81741.10000000001,0,,,,,,,,,,,,,,,,,,,,
RB,26,2600,,73.2436621568,54.6875,,.223631,.240014,.344646,.191277,.195924,.0723979,1859.64,33240.9,.0490256,.152316,,0,,,,40185,0,0,0,0,0,40027.5,0,0,0,0,37045.2,0,0,0,35333.7,0,43390.3,392802,86011.39999999999,0,,,,,,,,,,,,,,,,,,,,
RB,27,2700,,72.5724916514,56.470589,,.218444,.241265,.335785,.203789,.176677,.0986544,1811.09,33165.6,.0487824,.152347,,0,,,,33266.2,0,0,0,0,0,30028.6,0,0,0,0,22586.8,0,0,0,19297.5,0,32536.5,433884,86655.60000000001,0,,,,,,,,,,,,,,,,,,,,
RB,28,2800,,72.3006670737,55.3125,,.218442,.241265,.335787,.203728,.176677,.0986544,1906.71,33088.9,.0487824,.152372,,0,,,,15892.3,0,0,0,0,0,11745.5,0,0,0,0,5036.86,0,0,0,2659.26,0,13047.4,377044,83499.8,0,,,,,,,,,,,,,,,,,,,,
RB,29,2900,,73.86931284720001,55.333332,,.21844,.241265,.335831,.203671,.176677,.0986544,1792.65,33007.5,.0487824,.152398,,0,,,,1239.79,0,0,0,0,0,246.469,0,0,0,0,0,0,0,0,0,0,344.218,265627,67467,0,,,,,,,,,,,,,,,,,,,,
RB,30,3000,,75.4644790925,54.642857,,.218438,.241265,.335919,.203619,.176677,.0986544,1766.21,32920.9,.0487824,.152422,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.941,188183,34061.3,0,,,,,,,,,,,,,,,,,,,,
RB,31,3100,,74.24810179070001,56.111111,,.221308,.244566,.339798,.193662,.180786,.0921572,1776.64,32798.9,.0495726,.163688,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6294.94,187917,8025.01,0,,,,,,,,,,,,,,,,,,,,
RB,32,3200,,72.3375401105,56.666668,,.221306,.244566,.339783,.193646,.180786,.0921572,1797.85,32756,.0495726,.163688,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8350.4,157123,0,0,,,,,,,,,,,,,,,,,,,,
RB,33,3300,,70.3564635266,57.5,,.218754,.243649,.338779,.198006,.202026,.105455,1855.3,32702.8,.0516079,.165249,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3818.74,101747,0,0,,,,,,,,,,,,,,,,,,,,
RB,34,3400,,69.97196844299999,57.142857,,.215258,.247886,.335471,.200325,.227639,.122111,1823.59,32610.2,.0548281,.16739,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.50579999999999,86190,0,0,,,,,,,,,,,,,,,,,,,,
RB,35,3500,,69.9602405001,56.470589,,.212204,.246599,.336853,.203324,.22925,.123965,1804.46,32582.9,.0520534,.144037,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98362.89999999999,0,0,,,,,,,,,,,,,,,,,,,,
RB,36,3600,,70.3192409672,57.666668,,.207293,.244525,.33908,.208091,.231846,.12695,1812.84,32515.7,.047585,.106505,,0,,,,0,0,348.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90287.7,59.2152,0,,,,,,,,,,,,,,,,,,,,
RB,37,3700,,71.97028238839999,54.814816,,.206862,.245868,.339917,.206298,.241554,.132357,1814.84,32315.2,.0477608,.0933482,,0,,,,0,0,1923.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74391.5,17.2316,0,,,,,,,,,,,,,,,,,,,,
RB,38,3800,,72.9075257115,54.310345,,.206892,.245915,.339916,.206204,.241762,.132462,1972.83,32091.3,.0477986,.0933546,,0,,,,0,0,4031.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78529.60000000001,0,0,,,,,,,,,,,,,,,,,,,,
RB,39,3900,,72.0979484465,55.625,,.206896,.245915,.339463,.206174,.241762,.132462,1971.28,31858.8,.0477986,.0933909,,0,,,,0,0,6023.22,0,0,0,221.371,0,0,0,0,0,0,0,0,0,0,0,132214,0,204.252,,,,,,,,,,,,,,,,,,,,
RB,40,4000,,69.7216481092,60.454544,,.2069,.245915,.337823,.206145,.241762,.132462,1972.83,31624,.0477986,.0934281,,0,,,,0,0,7576.76,0,0,0,4459.09,2028.27,0,0,0,0,0,0,0,0,0,0,187087,0,2381.25,,,,,,,,,,,,,,,,,,,,
RB,41,4100,,68.1116616459,61.25,,.206904,.245915,.335368,.206119,.241762,.132462,1733.33,31401.3,.0477986,.0934642,,0,,,,0,6.19259,8557.950000000001,0,73.7915,0,9288.5,7067.28,0,0,0,0,0,0,0,0,0,0,184184,434.603,6164.06,,,,,,,,,,,,,,,,,,,,
RB,42,4200,,66.91181520969999,55.400002,,.210098,.24233,.332457,.206854,.240424,.141043,1450.12,31217.3,.0480438,.0992137,,0,,,,1960.99,437.478,9447.42,0,999.693,0,11603.1,7808.06,0,0,0,1289.47,1747.33,0,0,4552.31,0,0,146622,30043.4,10410.6,,,,,,,,,,,,,,,,,,,,
RB,43,4300,,66.1782168435,57.173912,,.210592,.243343,.330329,.206019,.240756,.139753,1450.12,31113.8,.0482065,.100372,,0,,,,18321.3,1810.47,9960.530000000001,0,3124.93,139.134,23904.9,3155.84,0,0,0,16836.1,12703.5,0,0,23421.7,0,0,133019,95427.89999999999,14130.5,,,,,,,,,,,,,,,,,,,,
RB,44,4400,,66.23883096350001,61.842106,,.211935,.24607,.329929,.203405,.244551,.137832,1450.12,31193.6,.0484146,.101825,,0,,,,37655.1,5676.93,9918.379999999999,0,7078.98,1079.48,39866.7,69.07689999999999,0,0,0,36560.5,28601.5,0,0,40886.5,0,0,148881,154853,16887,,,,,,,,,,,,,,,,,,,,
RB,45,4500,,66.56011192530001,59.411766,,.211411,.245451,.333029,.203967,.243234,.138118,1421.59,31447.6,.0487172,.1014,,0,,,,45772.9,12084.1,9727.549999999999,0,13171.2,2785.49,45627.7,0,0,0,0,46382.8,36925.7,0,0,45130.5,0,0,171931,175970,18780.4,,,,,,,,,,,,,,,,,,,,
RB,46,4600,,67.65250947920001,59.090908,,.210524,.246128,.336492,.203456,.246792,.142986,1328.01,31724.9,.049757,.0998964,,0,,,,37307.7,19728,9358.540000000001,0,20223,4899.54,34647,0,0,0,0,39558.1,38007.6,0,0,33180.5,0,0,184231,147474,19423,,,,,,,,,,,,,,,,,,,,
RB,47,4700,,69.3437045881,58.055557,,.210664,.246016,.338085,.203671,.246199,.142174,1281.27,32008.1,.0495837,.100069,,0,,,,18017,26269,8376.059999999999,0,25967.8,6817.22,15734.8,0,179.384,0,0,20857.6,34699.7,4581.6,17.5147,13558.2,0,6710.43,188000,93444.3,18243.4,,,,,,,,,,,,,,,,,,,,
RB,48,4800,,71.1549013752,57.36842,,.219888,.244838,.342052,.192107,.247606,.112868,1287.84,32254.7,.0483799,.102509,,0,,,,2797.44,30389.5,7132.61,0,29171,8152.69,16132.4,0,931.5410000000001,0,0,2629.04,17154.8,10518.7,675.1079999999999,26489.8,0,23900.6,241135,82693.8,15332.2,,,,,,,,,,,,,,,,,,,,
RB,49,4900,,71.5153297313,55.714287,,.214184,.242299,.33754,.20374,.235998,.141425,1404.55,32546.4,.0488132,.0952099,,0,,,,2135.5,31331.9,6080.56,0,29257.1,8674.75,28431.4,0,577.749,0,0,0,1597.58,9681.02,585.958,66406,0,36408.4,320122,95347.39999999999,11185,,,,,,,,,,,,,,,,,,,,
RB,50,5000,Gif-sur-Yvette,70.2577720173,54.75,,.212808,.241688,.335288,.20659,.233202,.148305,1450.1,32783.6,.0489176,.0934053,,.00117935,,,,737.265,28944.2,4577.38,0,26216.9,8305.09,24609,0,3.12532,0,0,0,0,3092.29,85.18170000000001,89420.2,0,35316.9,401419,97108.5,6542.24,,,,,,,,,,,,,,,,,,,,
RB,51,5100,,68.63384357370001,55,,.212804,.241688,.33362,.206665,.233202,.148305,1688.73,32993.2,.0489176,.0933445,,0,,,,0,23637.2,2741.5,0,20534.8,7082.02,8839.24,0,0,0,0,0,0,16.8594,0,80974,0,20513,421066,77038.10000000001,2407.77,,,,,,,,,,,,,,,,,,,,
RB,52,5200,,67.3278220669,56.5,,.217082,.247796,.332475,.195872,.243211,.140152,1688.73,33099.9,.0519007,.104938,,0,,,,0,15744.7,930.805,0,12763.7,5031.67,57.7408,0,0,0,0,0,0,0,0,45431.1,0,3303.21,383952,38997.2,130.731,,,,,,,,,,,,,,,,,,,,
RB,53,5300,,69.0396012269,58,,.217112,.248738,.331482,.194787,.241787,.132322,1688.73,33216.3,.0522529,.106765,,0,,,,0,7671.47,20.2741,0,5480.09,2669.54,0,0,0,0,0,0,0,0,0,8103.51,0,0,292876,5864.75,0,,,,,,,,,,,,,,,,,,,,
RB,54,5400,,71.4521962979,57.36842,,.221506,.250147,.33099,.191264,.263378,.138874,1688.73,33252.5,.0539277,.121234,,0,,,,0,2230.15,0,0,1318.77,766.123,0,0,0,0,0,0,0,0,0,0,0,0,213987,0,13.7158,,,,,,,,,,,,,,,,,,,,
RB,55,5500,,72.6415268881,56.40625,,.222086,.254058,.331603,.188438,.268204,.13795,1688.73,33205.5,.0593434,.13504,,0,,,,0,81.645,0,0,8.31298,.115332,0,0,0,0,0,0,0,0,0,0,0,0,166154,0,2339.26,,,,,,,,,,,,,,,,,,,,
RB,56,5600,,73.6710073445,56.857143,,.222284,.255372,.332697,.187447,.269826,.13764,1613.04,33144.3,.061164,.139684,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169936,0,10985.7,,,,,,,,,,,,,,,,,,,,
RB,57,5700,,74.59568176640001,57.5,,.223526,.255999,.333162,.186185,.269438,.135403,2147.09,32987.7,.0651718,.149695,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167511,0,24205.4,,,,,,,,,,,,,,,,,,,,
