line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
RC,0,0,Saint-Martin-d'Étampes,,,,.272619,.27367,.313311,.138647,.324888,.215734,850.938,20933.2,.123476,.17904,,.18762501,,,,0,0,1236.04,0,0,0,0,0,0,0,,9133.389999999999,0,0,0,0,58896.4,0,979658,0,0,,,,,,,,,,,,,,,,,,,,
RC,1,100,,,,,.268477,.270738,.320229,.138522,.310264,.208293,867.468,20735.1,.122372,.179005,,.063011996,,,,0,0,2454.95,0,0,0,0,0,0,0,,8298.32,0,0,0,0,67365.10000000001,0,909703,0,0,,,,,,,,,,,,,,,,,,,,
RC,2,200,,,,,.2685,.270738,.320229,.138373,.310264,.208293,989.925,20604.7,.122372,.179057,,0,,,,0,0,4089.23,0,0,0,0,0,0,0,,9856.690000000001,0,0,0,0,52769.1,0,763053,0,0,,,,,,,,,,,,,,,,,,,,
RC,3,300,,,,,.270165,.272186,.317912,.137159,.324635,.200536,989.925,20273.9,.120984,.179137,,0,,,,0,0,5929.84,0,0,0,0,0,0,0,,15740,0,0,0,0,23091.6,0,651392,0,0,,,,,,,,,,,,,,,,,,,,
RC,4,400,,,,,.270161,.272186,.317912,.137178,.324635,.200536,998.289,20280.1,.120984,.179136,,.0140067,,,,0,0,7324.44,0,0,0,0,0,0,0,,24557,0,0,0,0,1263.7,0,633254,0,0,,,,,,,,,,,,,,,,,,,,
RC,5,500,,,,,.270149,.272186,.317912,.137244,.324635,.200536,1008.39,20331.8,.120984,.17912,,.141068,,,,0,0,7783.41,0,0,0,0,0,0,0,,36937,0,0,0,0,0,0,645802,0,0,,,,,,,,,,,,,,,,,,,,
RC,6,600,,,,,.270135,.272186,.317912,.137323,.324635,.200536,1032.16,20403.4,.120984,.179098,,.92719603,,,,0,.9537099999999999,7430.29,0,0,0,0,0,0,0,,48470.9,0,0,0,145.58,176.946,0,642763,0,0,,,,,,,,,,,,,,,,,,,,
RC,7,700,,,,,.270119,.272186,.317912,.137415,.324635,.200536,1082.85,20491.3,.120984,.179072,,2.5381801,,,,0,761.71,6288.44,0,0,0,0,0,0,0,,48485,0,0,0,10714,849.857,0,636069,0,0,,,,,,,,,,,,,,,,,,,,
RC,8,800,,,,,.270103,.272186,.317889,.137506,.324635,.200536,1083.51,20584.6,.120984,.179045,,4.2253199,,,,0,2396.89,4687.16,3043.81,0,0,0,0,0,0,,39895.9,0,0,0,33973.7,578.752,0,764300,0,0,,,,,,,,,,,,,,,,,,,,
RC,9,900,,,,,.270088,.272186,.317763,.13759,.324635,.200536,1083.51,20678.4,.120984,.17902,,5.52672,,,,0,4250.59,3156.33,15775.9,0,9.68266,0,0,0,0,,40016.8,0,0,0,70311.10000000001,24.2504,0,1054240,0,0,,,,,,,,,,,,,,,,,,,,
