line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
RD,0,0,Malesherbes,,,,.237855,.239763,.340822,.179549,.157586,.374909,313.166,21055.4,.107581,.0568219,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,1,100,,,,,.237859,.239763,.340822,.179505,.157586,.374909,313.166,20977.8,.107581,.056879,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,2,200,,,,,.232421,.236168,.344293,.184733,.157739,.385514,303.209,21020,.108902,.0580194,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,3,300,,,,,.232422,.236168,.344293,.184718,.157739,.385514,303.209,21000.1,.108902,.0580633,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,4,400,,,,,.234713,.241819,.344354,.177712,.158724,.375585,303.209,20978.6,.10843,.0580602,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,5,500,,,,,.235908,.244766,.345089,.17408,.159238,.370408,303.209,20998.5,.108184,.0580669,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,6,600,,,,,.238872,.244439,.34668,.171256,.168638,.375355,293.125,21073.8,.109205,.0580426,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,7,700,,,,,.241033,.244186,.348725,.169172,.175486,.378985,291.761,21151.7,.10995,.0580197,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,8,800,,,,,.241043,.244186,.350923,.169118,.175486,.378985,291.623,21222.4,.10995,.0580248,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
RD,9,900,,,,,.241053,.244186,.352172,.169068,.175486,.378985,291.956,21302.5,.10995,.0580244,,0,,,,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
