line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
RE,0,0,,58.1367539748,62.1875,,.27903,.305935,.287165,.113141,.141085,.336953,74776.3,17042.6,.264916,.235721,625.496,29.5881,,0,43688.9,94237.39999999999,32468.6,38906.9,0,6000.86,35098.2,50169.6,42807.2,9716.9,0,0,15810.6,0,42310.1,44811.4,59087.3,9370.870000000001,11641.3,2236910,73528.3,9612.57,,,,,,,,,,,,,,,,,,,,
RE,1,100,Noisy-le-Sec,57.2882638538,61.923077,,.281416,.306094,.288088,.111257,.155261,.318955,73767.8,17038,.266065,.251443,470.758,18.0186,,0,44251.5,69096.5,36578.8,37984.9,0,9352.15,39775.1,28875.5,29053.8,21591.5,0,0,26996.2,0,40035.6,38626.8,29519.8,106.647,21640.8,2085290,66632.89999999999,15434.8,,,,,,,,,,,,,,,,,,,,
RE,2,200,,57.0402958702,60,,.282072,.305634,.289266,.11094,.156145,.314714,73439.89999999999,17127.1,.266734,.25764,352.041,12.367,,0,29593.6,33351.1,38312.1,34325.1,0,12022.5,40975.1,7984.91,8881.02,24421.1,0,0,26778,0,23989,20164.9,16737.1,0,21685.3,1640440,51545.8,19706,,,,,,,,,,,,,,,,,,,,
RE,3,300,,56.8896688663,,,.282077,.305634,.291173,.110906,.156145,.314714,72189.3,17210.6,.266734,.257697,278.047,9.6579399,,0,8912.99,9846.370000000001,36731.2,28406.9,0,13417,38318.3,6754.58,0,15858.7,0,0,15203.5,0,4946.29,2533.38,14462.6,0,11661.9,1056180,28361.5,21488.2,,,,,,,,,,,,,,,,,,,,
RE,4,400,,56.7062284754,75,,.282082,.305634,.292926,.110869,.156145,.314714,72655.10000000001,17289.3,.266734,.257748,240.488,8.5092402,,0,0,3905.94,32132.6,21782.2,0,13406.9,32440.9,4019.4,0,3396.98,1.94849,0,2112.53,0,0,0,10821.7,0,1225.99,618705,11669,20093.5,,,,,,,,,,,,,,,,,,,,
RE,5,500,,56.5477559663,70,,.284995,.30339,.292451,.111916,.166419,.314715,71750.2,17464.8,.26807,.25942,208.186,6.72967,,0,0,137.172,25065.9,15915.5,0,11871,24250.8,84.2698,0,0,10.4029,0,0,0,0,0,5534.74,0,0,376074,619.186,16073.4,,,,,,,,,,,,,,,,,,,,
RE,6,600,,56.3143168081,75,,.281767,.300808,.297423,.112517,.175446,.315174,71849.39999999999,17606.2,.262874,.261212,175.934,4.44696,,0,0,0,17139.8,11457.7,0,9060.59,15530.5,0,0,0,1.4721,0,0,0,0,0,750.607,0,0,254590,0,10388.7,,,,,,,,,,,,,,,,,,,,
RE,7,700,,56.1114394435,80,,.280683,.303733,.296586,.111462,.191598,.306312,69297.10000000001,17778.9,.263486,.275278,151.14,2.57271,,0,0,0,9929.43,7614.09,0,5554.06,8623.790000000001,0,0,0,0,0,0,0,0,0,0,0,0,244268,742.424,4528.23,,,,,,,,,,,,,,,,,,,,
RE,8,800,,56.0965287985,,,.280682,.303733,.297167,.111443,.191598,.306312,68861,17865.9,.263486,.275284,134.17,2.13166,,0,0,0,4188.54,3922.08,0,2244.66,3404.52,0,0,0,0,0,0,0,0,0,0,0,0,223121,8269.379999999999,561.875,,,,,,,,,,,,,,,,,,,,
RE,9,900,,56.2511752749,70,,.288803,.311689,.297542,.0962733,.211855,.253802,66059.8,17866,.272626,.325783,118.793,2.7054999,,0,0,0,784.165,2654.5,0,261.364,438.01,0,0,0,0,0,0,0,0,0,0,0,0,172314,15769.8,0,,,,,,,,,,,,,,,,,,,,
